,Kitsp,lon,lat,Rooms,Brick,Bal,Nfloors,Dist,District,Tel,New,Price,Floor,Livesp,Totsp,N,Walk,Metrdist
1,"8,5",37.606963,55.750428,3,0.0,,7,0.06830434648314976,0,1.0,0.0,67000000,6,63,97,1,1.0,2
2,15,37.576043,55.727217,3,1.0,1.0,12,0.06830434648314976,0,0.0,0.0,176085090,5,75,122,2,1.0,3
3,8,37.643408,55.759208,2,1.0,1.0,6,0.06830434648314976,0,1.0,0.0,24000000,5,"32,2","56,4",3,1.0,11
4,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,4585315,2,"17,3","17,3",4,1.0,6
5,–,37.671938,55.775753,1,1.0,,5,0.06830434648314976,0,,,4814581,2,10,"17,3",5,1.0,6
6,–,37.672163,55.776294,1,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,4814581,2,"17,3","17,3",6,1.0,5
7,7,37.673214,55.730101,1,,,9,0.06830434648314976,0,1.0,0.0,5300000,1,20,32,7,1.0,4
8,–,37.671938,55.775753,1,1.0,,5,0.06830434648314976,0,,,5377566,5,10,"18,3",8,1.0,6
9,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,5496232,2,"23,7","23,7",9,1.0,6
10,–,37.672163,55.776294,1,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,5496232,2,"23,7","23,7",10,1.0,5
11,"9,6",37.689042,55.775793,1,,1.0,1,0.06830434648314976,0,1.0,0.0,5550000,1,20,"37,4",11,1.0,10
12,6,37.522477,55.756356,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,5900000,3,16,30,12,,
13,10,37.522998,55.753387,1,,,12,0.06830434648314976,0,,0.0,6000000,1,20,35,13,1.0,13
14,"9,6",37.677301,55.737988,1,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,6000000,12,"20,1","35,1",14,0.0,10
15,10,37.677301,55.737988,1,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,6100000,12,20,36,15,1.0,10
16,–,37.671938,55.775753,1,1.0,,4,0.06830434648314976,0,,,6258687,4,15,"25,5",16,1.0,6
17,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,6258687,4,"25,5","25,5",17,1.0,6
18,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,6285999,2,"32,6","32,6",18,1.0,6
19,–,37.671938,55.775753,1,1.0,,4,0.06830434648314976,0,,,6325576,3,17,30,19,1.0,6
20,–,37.67228,55.775824,1,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,6325576,3,"29,5","29,5",20,1.0,5
21,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,6355668,3,"22,3","22,3",21,1.0,6
22,10,37.518928,55.758564,1,0.0,1.0,12,0.06830434648314976,0,1.0,,6400000,2,18,34,22,1.0,10
23,–,37.671938,55.775753,1,1.0,,4,0.06830434648314976,0,,,6437035,3,18,"33,5",23,1.0,6
24,–,37.671938,55.775753,1,1.0,,4,0.06830434648314976,0,,,6449418,4,16,"28,5",24,1.0,6
25,"5,6",37.556424,55.77114,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,6500000,5,"18,6","30,7",25,1.0,10
26,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,6521566,4,"33,2","33,2",26,1.0,6
27,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,6597337,2,"27,9","27,9",27,1.0,6
28,"5,6",37.676753,55.73003,1,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,6600000,5,"20,2","33,1",28,0.0,5
29,14,37.574345,55.726893,4,1.0,1.0,11,0.06830434648314976,0,1.0,0.0,107000000,7,110,160,29,1.0,6
30,15,37.583697,55.723699,4,1.0,1.0,11,0.06830434648314976,0,1.0,0.0,136955070,6,100,147,30,1.0,7
31,7,37.587128,55.743593,2,1.0,0.0,5,0.06830434648314976,0,0.0,0.0,33500000,3,60,"68,7",31,1.0,5
32,6,37.676753,55.73003,2,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,6600000,5,18,"33,1",32,0.0,5
33,"5,4",37.691638,55.77472,1,1.0,0.0,5,0.06830434648314976,0,0.0,0.0,6790000,4,17,27,33,1.0,10
34,7,37.542419,55.759537,1,1.0,1.0,5,0.06830434648314976,0,0.0,0.0,6800000,4,19,31,34,1.0,15
35,8,37.676385,55.734962,1,0.0,1.0,12,0.06830434648314976,0,1.0,,6850000,9,17,32,35,1.0,9
36,9,37.642132,55.774305,1,0.0,1.0,16,0.06830434648314976,0,,0.0,6900000,3,19,34,36,1.0,5
37,–,37.642132,55.774305,1,0.0,1.0,16,0.06830434648314976,0,,0.0,6934500,8,–,34,37,1.0,5
38,"5,5",37.683257,55.735302,2,1.0,,9,0.06830434648314976,0,0.0,0.0,7000000,2,22,35,38,1.0,10
39,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,7007958,2,"31,7","31,7",39,1.0,6
40,–,37.685364,55.745617,2,1.0,,19,0.06830434648314976,0,,,7021000,5,"27,8","41,2",40,,
41,9,37.642132,55.774305,1,0.0,1.0,16,0.06830434648314976,0,,0.0,7079400,8,19,34,41,1.0,5
42,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,7189943,4,"30,5","30,5",42,1.0,6
43,6,37.678784,55.774011,1,1.0,0.0,9,0.06830434648314976,0,0.0,0.0,7200000,2,18,31,43,1.0,4
44,6,37.538431,55.75937,2,0.0,1.0,5,0.06830434648314976,0,1.0,0.0,7200000,5,30,45,44,1.0,15
45,–,37.691638,55.77472,1,0.0,,5,0.06830434648314976,0,1.0,,7200000,4,25,27,45,1.0,12
46,6,37.682062,55.733472,1,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,7200000,3,19,32,46,1.0,15
47,–,37.67228,55.775824,1,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,7220153,3,"33,6","33,6",47,1.0,5
